134	0.0743206 4.17686	1.6	2.72	3.504	4.0528
135	0.0748752 4.16277	1.6	2.72	3.504	4.0528
136	0.0754298 4.08345	1.6	2.72	3.504	4.0528
137	0.0759845 4.08527	1.6	2.72	3.504	4.0528
138	0.0765391 4.01331	1.6	2.72	3.504	4.0528
139	0.0770937 4.04602	1.6	2.72	3.504	4.0528
140	0.0776484 3.99059	1.6	2.72	3.504	4.0528
141	0.078203 3.9255	1.6	2.72	3.504	4.0528
142	0.0787576 3.78207	1.6	2.72	3.504	4.0528
143	0.0793123 3.94211	1.6	2.72	3.504	4.0528
144	0.0798669 3.82627	1.6	2.72	3.504	4.0528
145	0.0804215 3.77239	1.6	2.72	3.504	4.0528
146	0.0809762 3.78765	1.6	2.72	3.504	4.0528
147	0.0815308 3.70847	1.6	2.72	3.504	4.0528
148	0.0820854 4.09654	1.6	2.72	3.504	4.0528
149	0.08264 4.03495	1.6	2.72	3.504	4.0528
150	0.0831947 3.96721	1.6	2.72	3.504	4.0528
151	0.0837493 3.95312	1.6	2.72	3.504	4.0528
152	0.0843039 3.93468	1.6	2.72	3.504	4.0528
153	0.0848586 3.8714	1.6	2.72	3.504	4.0528
154	0.0854132 3.90411	1.6	2.72	3.504	4.0528
155	0.0859678 3.79503	1.6	2.72	3.504	4.0528
156	0.0865225 3.80384	1.6	2.72	3.504	4.0528
157	0.0870771 3.6492	1.6	2.72	3.504	4.0528
158	0.0876317 3.7803	1.6	2.72	3.504	4.0528
159	0.0881864 3.70462	1.6	2.72	3.504	4.0528
160	0.088741 3.671	1.6	2.72	3.504	4.0528
161	0.0892956 3.64946	1.6	2.72	3.504	4.0528
162	0.0898502 3.48579	1.6	2.72	3.504	4.0528
163	0.0904049 3.74516	1.6	2.72	3.504	4.0528
164	0.0909595 3.65717	1.6	2.72	3.504	4.0528
165	0.0915141 3.5604	1.6	2.72	3.504	4.0528
166	0.0920688 3.52002	1.6	2.72	3.504	4.0528
167	0.0926234 3.51393	1.6	2.72	3.504	4.0528
168	0.093178 3.39087	1.6	2.72	3.504	4.0528
169	0.0937327 3.42892	1.6	2.72	3.504	4.0528
170	0.0942873 3.34974	1.6	2.72	3.504	4.0528
171	0.0948419 3.26797	1.6	2.72	3.504	4.0528
172	0.0953966 4.29118	1.6	2.72	3.504	4.0528
173	0.0959512 4.26224	1.6	2.72	3.504	4.0528
174	0.0965058 4.22959	1.6	2.72	3.504	4.0528
175	0.0970605 4.20319	1.6	2.72	3.504	4.0528
176	0.0976151 4.20682	1.6	2.72	3.504	4.0528
177	0.0981697 4.14522	1.6	2.72	3.504	4.0528
178	0.0987243 4.07748	1.6	2.72	3.504	4.0528
