46	0.025513 4.87986	5.01059	0.743921
47	0.0260677 4.81827	4.98165	0.714984
48	0.0266223 4.75921	4.94031	0.673645
49	0.0271769 4.79451	4.96502	0.698355
50	0.0277316 4.75571	4.92368	0.657016
51	0.0282862 4.718	4.89728	0.630618
52	0.0288408 4.79206	4.94912	0.682455
53	0.0293955 4.73046	4.92018	0.653517
54	0.0299501 4.6714	4.87884	0.612178
55	0.0305047 4.64863	4.84873	0.582059
56	0.0310593 4.62234	4.8445	0.577833
57	0.031614 4.58717	4.8057	0.539033
58	0.0321686 4.71827	4.89747	0.630802
59	0.0327232 4.64799	4.84828	0.581608
60	0.0332779 4.56868	4.80694	0.540269
61	0.0338325 4.57484	4.79707	0.530407
62	0.0343871 4.5564	4.78417	0.517499
63	0.0349418 4.48444	4.73379	0.467124
64	0.0354964 4.51715	4.75669	0.490023
65	0.036051 4.3965	4.68641	0.419746
66	0.0366057 4.40531	4.69258	0.425913
67	0.0371603 4.28215	4.59218	0.325518
68	0.0377149 4.79338	4.96423	0.697564
69	0.0382696 4.7723	4.93529	0.668627
70	0.0388242 4.73433	4.92289	0.656225
71	0.0393788 4.66405	4.8737	0.607031
72	0.0399334 4.68793	4.87624	0.60957
73	0.0404881 4.62888	4.8349	0.568231
74	0.0410427 4.66418	4.85961	0.592942
75	0.0415973 4.6138	4.83853	0.571859
76	0.042152 4.57981	4.80055	0.533886
77	0.0427066 4.45916	4.73028	0.463609
78	0.0432612 4.60013	4.81477	0.548104
79	0.0438159 4.54107	4.77343	0.506764
80	0.0443705 4.4955	4.75571	0.489048
81	0.0449251 4.50069	4.75934	0.492675
82	0.0454798 4.40029	4.68907	0.422399
83	0.0460344 4.56768	4.79206	0.525389
84	0.046589 4.52634	4.76312	0.496451
85	0.0471436 4.46728	4.72178	0.455112
86	0.0476983 4.41303	4.68381	0.417139
87	0.0482529 4.41821	4.68743	0.420766
88	0.0488075 4.36279	4.64863	0.381967
89	0.0493622 4.3955	4.67153	0.404866
90	0.0499168 4.28725	4.60994	0.34327
91	0.0504714 4.1818	4.52194	0.255277
92	0.0510261 4.16167	4.50785	0.241188
93	0.0515807 4.43332	4.69801	0.431343
94	0.0521353 4.40321	4.67693	0.41026
95	0.05269 4.34896	4.63895	0.372287
96	0.0532446 4.24856	4.56868	0.30201
97	0.0537992 4.28268	4.59256	0.325894
98	0.0543539 4.19832	4.5335	0.266838
99	0.0549085 4.22849	4.56881	0.302139
100	0.0554631 4.16438	4.50975	0.243083
101	0.0560177 4.11051	4.47204	0.205371
102	0.0565724 4.2163	4.54609	0.279424
103	0.057127 4.1159	4.47581	0.209147
104	0.0576816 3.98234	4.3965	0.129835
105	0.0582363 3.98247	4.38241	0.115745
106	0.0587909 3.95613	4.36397	0.0973055
107	0.0593455 3.86454	4.29986	0.0331958
108	0.0599002 4.59851	4.81364	0.546973
109	0.0604548 4.55717	4.7847	0.518036
110	0.0610094 4.53945	4.7723	0.505634
111	0.0615641 4.47786	4.74336	0.476697
112	0.0621187 4.48521	4.73433	0.467661
113	0.0626733 4.43483	4.71324	0.446578
114	0.063228 4.45773	4.72927	0.462607
115	0.0637826 4.38745	4.68008	0.413414
116	0.0643372 4.39362	4.67022	0.403551
117	0.0648918 4.30563	4.60862	0.341956
118	0.0654465 4.3974	4.67286	0.406194
119	0.0660011 4.34702	4.65178	0.385111
120	0.0665557 4.31303	4.6138	0.347138
121	0.0671104 4.30581	4.60875	0.342085
